Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
OBB,1980.0,Lake Placid (USA),München,48135.0,11581.0,Silber,Ski Alpin,Slalom
OBB,1984.0,Sarajewo (JUG),Bischofswiesen,47650.0,12964.0,Gold,Rodel,Doppelsitzer
OBB,1984.0,Sarajewo (JUG),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Doppelsitzer
OBB,1984.0,Sarajewo (JUG),Ruhpolding,47762.0,12645.0,Bronze,Biathlon,Staffel
OBB,1984.0,Sarajewo (JUG),Bad Reichenhall,47730.0,12881.0,Bronze,Biathlon,Staffel
OBB,1984.0,Los Angeles (USA),Steingaden,47702.0,10861.0,Silber,Judo,
OBB,1984.0,Los Angeles (USA),Herrsching am Ammersee,47996.0,11174.0,Gold,Rudern,Doppelvierer
OBB,1984.0,Los Angeles (USA),München,48135.0,11581.0,Bronze,Gewichtheben,Super-Schwergewicht
OBB,1984.0,Sarajewo (JUG),Siegsdorf,47823.0,12640.0,Gold,Biathlon,"Einzel 20km, 10km Sprint, Staffel"
OBB,1988.0,Calgary (CAN),Ruhpolding,47762.0,12645.0,Silber,Biathlon,Staffel
OBB,1988.0,Calgary (CAN),München,48135.0,11581.0,Gold,Ski Alpin,Abfahrt
OBB,1988.0,Calgary (CAN),München,48135.0,11581.0,Silber,Ski Alpin,"Riesenslalom, Slalom"
OBB,1988.0,Calgary (CAN),Berchtesgarden,47630.0,13000.0,Bronze,Rodel,Doppelsitzer
OBB,1988.0,Calgary (CAN),Berchtesgarden,47630.0,13000.0,Silber,Rodel,Einzel
OBB,1988.0,Calgary (CAN),Oberaudorf,47651.0,12169.0,Gold,Nordische Kombination,Team
OBB,1988.0,Calgary (CAN),Benediktbeuern,47705.0,11409.0,Silber,Biathlon,Staffel
OBB,1988.0,Calgary (CAN),Berchtesgarden,47630.0,13000.0,Bronze,Rodel,Doppelsitzer
OBB,1988.0,Seoul (Südkorea),Erpfting,48033.0,10833.0,Gold,Sportschießen,"KK-Gewehr Dreistellungskampf, Luftgewehr"
OBB,1988.0,Seoul (Südkorea),Unterföhring,48191.0,11646.0,Bronze,Sportschießen,Luftgewehr
OBB,1988.0,Seoul (Südkorea),München,48135.0,11581.0,Gold,Reiten,Vielseitigkeitsreiten Mannschaft
OBB,1988.0,Seoul (Südkorea),Bruckmühl,47876.0,11909.0,Bronze,Rad,Zeitfahren Bahn
OBB,1988.0,Seoul (Südkorea),München,48135.0,11581.0,Silber,Gewichtheben,Super-Schwergewicht
OBB,1988.0,Calgary (CAN),Siegsdorf,47823.0,12640.0,Silber,Biathlon,Staffel
OBB,1992,Barcelona (E) ,München,48135.0,11581.0,Bronze,Tennis,Doppel
OBB,1992.0,Albertville (F),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Einzel
OBB,1992.0,Albertville (F),Berchtesgarden,47630.0,13000.0,Silber,Bob,2er-Bob
OBB,1992.0,Albertville (F),Tegernsee,47713.0,11758.0,Bronze,Bob,2er-Bob
OBB,1992.0,Albertville (F),Bad Tölz,47761.0,11565.0,Silber,Biathlon,Staffel
OBB,1992.0,Albertville (F),Berchtesgarden,47630.0,13000.0,Silber,Bob,2er-Bob
OBB,1992.0,Barcelona ( E),München,48135.0,11581.0,Bronze,Schwimmen,4x100m Freistil Staffel
OBB,1992.0,Barcelona ( E),München,48135.0,11581.0,Bronze,Reiten,Team
OBB,1992.0,Barcelona ( E),München,48135.0,11581.0,Bronze,Judo,Superleichtgewicht
OBB,1992.0,Barcelona ( E),München,48135.0,11581.0,Silber,Hockey,
OBB,1992.0,Barcelona ( E),München,48135.0,11581.0,Bronze,Gewichtheben,Super-Schwergewicht
OBB,1992.0,Barcelona ( E),Unterföhring,48191.0,11646.0,Bronze,Sportschießen,Luftgewehr
OBB,1994.0,Lillehammer (NOR),Schliersee,47734.0,11862.0,Gold,Ski Alpin,"Super-G, Riesenslalom"
OBB,1994.0,Lillehammer (NOR),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Einzel
OBB,1994.0,Lillehammer (NOR),Bad Tölz,47761.0,11565.0,Silber,Ski Alpin,Riesenslalom
